tid,year
1339953001847525379,2020-12-18
1340185773220515840,2020-12-19
1340306154031857665,2020-12-19
1340333619299147781,2020-12-19
1340368820079345664,2020-12-19
1340381132467171332,2020-12-19
1340386251866828802,2020-12-19
1340386865799712772,2020-12-19
1340466552420896769,2020-12-20
1340516843791020033,2020-12-20
1340517052705091586,2020-12-20
1340529063799246848,2020-12-20
1340700000892948482,2020-12-20
1340700258712625152,2020-12-20
1340701929085820934,2020-12-20
1340715967182204930,2020-12-20
1340716121671004161,2020-12-20
1340716395286413315,2020-12-20
1340717162315599873,2020-12-20
1340717540000083970,2020-12-20
1340717841964818433,2020-12-20
1340995938937163776,2020-12-21
1340996088443105282,2020-12-21
1340996686257254403,2020-12-21
1341043284542713857,2020-12-21
1341043285368909824,2020-12-21
1341138408274595843,2020-12-21
1341138409092509696,2020-12-21
1341265409635475456,2020-12-22
1341405487057821698,2020-12-22
1341551177146757121,2020-12-23
1341553610996543494,2020-12-23
1341565405509394440,2020-12-23
1341885394124607488,2020-12-23
1341948764068704256,2020-12-24
1342100887137873922,2020-12-24
1342209260026023940,2020-12-24
1342212340436135938,2020-12-24
1342212651447967744,2020-12-24
1342245390540804096,2020-12-24
1342624069687062528,2020-12-26
1342817496924086278,2020-12-26
1342821189077622792,2020-12-26
1342826019745640450,2020-12-26
1342830505163706369,2020-12-26
1342832582606598144,2020-12-26
1342974370822692867,2020-12-26
1342974373632876545,2020-12-26
1343068273827577861,2020-12-27
1343069190433943564,2020-12-27
1343646101266714624,2020-12-28
1343663159085834248,2020-12-28
1343919651336712199,2020-12-29
1343919652125241345,2020-12-29
1343919653068943361,2020-12-29
1344036020162093058,2020-12-29
1344054358418345985,2020-12-29
1344095997841047552,2020-12-30
1344160787384971264,2020-12-30
1344160788567773189,2020-12-30
1344259406511431680,2020-12-30
1344288700851744769,2020-12-30
1344308641286004738,2020-12-30
1344367336715857921,2020-12-30
1344400646066331648,2020-12-30
1344853996977197056,2021-01-01
1345100089505755139,2021-01-01
1345149555390771201,2021-01-01
1345149556967800832,2021-01-01
1345149558154797056,2021-01-01
1345157300588335104,2021-01-01
1345404682655707136,2021-01-02
1345404684723507200,2021-01-02
1345508977031974918,2021-01-02
1345604625345490944,2021-01-03
1345731043861659650,2021-01-03
1345736811906273282,2021-01-03
1345751815258845184,2021-01-03
1345752303085760512,2021-01-03
1345752729713586183,2021-01-03
1345752835913359367,2021-01-03
1345753654087843840,2021-01-03
1345798202650460162,2021-01-03
1345798206471475204,2021-01-03
1345803569438597121,2021-01-03
1345958851795951616,2021-01-04
1345966975739191298,2021-01-04
1345967072006828033,2021-01-04
1346110956078817280,2021-01-04
1346112444108836864,2021-01-04
1346120645613150208,2021-01-04
1346300462899875840,2021-01-05
1346469204740902915,2021-01-05
1346659909492998146,2021-01-06
1346685023861272580,2021-01-06
