tid,year
1336686867656355850,2020-12-09
1336682635725320193,2020-12-09
1336680803682693126,2020-12-09
1336680713568071681,2020-12-09
1336678973980487681,2020-12-09
1336668083822473221,2020-12-09
1336666810742149120,2020-12-09
1336439050488647681,2020-12-08
1336415351383449601,2020-12-08
1336415114191400966,2020-12-08
1336415090770399236,2020-12-08
1336415057601761282,2020-12-08
1336415036210864130,2020-12-08
1336411597330391046,2020-12-08
1336407510069161988,2020-12-08
1336407243743498246,2020-12-08
1336406321780977664,2020-12-08
1336406230919688200,2020-12-08
1336406199818985474,2020-12-08
1336406040754216967,2020-12-08
1336405912597262340,2020-12-08
1336405778723467265,2020-12-08
1336405337285517314,2020-12-08
1336404093028478976,2020-12-08
1336402024712245249,2020-12-08
1336402002662862856,2020-12-08
1336401919422640128,2020-12-08
1336401395554127877,2020-12-08
1336401336280215552,2020-12-08
1336394251354124289,2020-12-08
1336385153929793536,2020-12-08
1336376821617725449,2020-12-08
1336369809529966592,2020-12-08
1336346623094513666,2020-12-08
1336346540428972039,2020-12-08
1336344876082995200,2020-12-08
1336344843765866496,2020-12-08
1336344149285625859,2020-12-08
1336322408970559495,2020-12-08
1336320843484286977,2020-12-08
1336318760106471424,2020-12-08
1336303563425910785,2020-12-08
1336177638528983041,2020-12-08
1336161955845959680,2020-12-08
1336150611889426433,2020-12-08
1336148836495069185,2020-12-08
1336122354003537921,2020-12-08
1336114633485266944,2020-12-08
1336113603116752897,2020-12-08
1336112582424473600,2020-12-08
1336110929856040960,2020-12-08
1336069391126044673,2020-12-07
1336018515028037635,2020-12-07
1336014945113272325,2020-12-07
1335984976521801733,2020-12-07
1335971721262796801,2020-12-07
1335796393399775233,2020-12-07
1335783660507770881,2020-12-07
1335783596922114048,2020-12-07
1335775535717289984,2020-12-07
1335775501739307009,2020-12-07
1335775434546548737,2020-12-07
1335772223748141057,2020-12-07
1335766342385930241,2020-12-07
1335761079750766592,2020-12-07
1335739297459265537,2020-12-07
1335736235239804928,2020-12-07
1335716932604076034,2020-12-06
1335713681733263370,2020-12-06
1335713485020401671,2020-12-06
1335712082394804229,2020-12-06
1335705799088279554,2020-12-06
1335705718209572866,2020-12-06
1335679426516881409,2020-12-06
1335674163919548418,2020-12-06
1335673568089301003,2020-12-06
1335672890407215105,2020-12-06
1335663612954898434,2020-12-06
1335661400081969152,2020-12-06
1335657565733212162,2020-12-06
1335470128603992064,2020-12-06
1335469766308466688,2020-12-06
1335469323276742656,2020-12-06
1335468518322675715,2020-12-06
1335468465679966208,2020-12-06
1335468393726697473,2020-12-06
1335468345043390464,2020-12-06
1335468301028372480,2020-12-06
1335468270569349120,2020-12-06
1335468173336961024,2020-12-06
1335468139484733440,2020-12-06
1335468101564063744,2020-12-06
1335468046446686209,2020-12-06
1335467992419889153,2020-12-06
1335467150069407744,2020-12-06
1335467089830825984,2020-12-06
1335467006750056451,2020-12-06
1335466908192268293,2020-12-06
1335466751757340672,2020-12-06
1335466401893670912,2020-12-06
1335466110037217280,2020-12-06
1335465325069017088,2020-12-06
1335465256798330880,2020-12-06
1335465149147308033,2020-12-06
1335464641301008384,2020-12-06
1335464302766149632,2020-12-06
1335463604594806791,2020-12-06
1335463480435109888,2020-12-06
1335463348893339648,2020-12-06
1335463244266409985,2020-12-06
1335463148137164802,2020-12-06
1335462968084090880,2020-12-06
1335462704006492160,2020-12-06
1335462365370994689,2020-12-06
1335461730546307075,2020-12-06
1335461462312148995,2020-12-06
1335461221911425026,2020-12-06
1335460410267488261,2020-12-06
1335414297891983360,2020-12-06
1335413770139549697,2020-12-06
1335413152146550788,2020-12-06
1335409849392218114,2020-12-06
1335409723080765440,2020-12-06
1335409691636105219,2020-12-06
1335409639865765888,2020-12-06
1335409573830696961,2020-12-06
1335409353042481154,2020-12-06
1335406436247998464,2020-12-06
1335351633459310593,2020-12-05
1335351629810286592,2020-12-05
1335344435048054785,2020-12-05
1335336916582084614,2020-12-05
1335281344302104577,2020-12-05
1335268230206722048,2020-12-05
1335260785510146048,2020-12-05
1335087268516794368,2020-12-05
1335087245037015040,2020-12-05
1335059858178125825,2020-12-05
1335057724485275656,2020-12-05
1335057703568355330,2020-12-05
1335052324780339200,2020-12-05
1335052022530379776,2020-12-05
1335042139479298050,2020-12-05
1335032599283109890,2020-12-05
1335001911460843521,2020-12-04
1334994862299602947,2020-12-04
1334993249082236931,2020-12-04
1334991611403640838,2020-12-04
1334991357144944643,2020-12-04
1334952378412523525,2020-12-04
1334952236137459713,2020-12-04
1334952034559258628,2020-12-04
1334952015861063685,2020-12-04
1334950658504581121,2020-12-04
1334950637805707265,2020-12-04
1334950621288554497,2020-12-04
1334949289160740866,2020-12-04
1334859567981846529,2020-12-04
1334859228968857600,2020-12-04
1334858997367771137,2020-12-04
1334858852337070083,2020-12-04
1334858653455806465,2020-12-04
1334858416523780097,2020-12-04
1334849278137790464,2020-12-04
1334848556176379907,2020-12-04
1334846272164032512,2020-12-04
1334846048536317956,2020-12-04
1334740327643705344,2020-12-04
1334738533635010560,2020-12-04
1334718387583377408,2020-12-04
1334711509977608192,2020-12-04
1334670866051981312,2020-12-04
1334667685536411648,2020-12-04
1334617669316845580,2020-12-03
1334611537688809472,2020-12-03
1334606278388277253,2020-12-03
1334600813327609880,2020-12-03
1334593576777494540,2020-12-03
1334573529107460096,2020-12-03
1334572501565902848,2020-12-03
1334572492476837893,2020-12-03
1334534181314031617,2020-12-03
1334530110238695429,2020-12-03
1334520681212633090,2020-12-03
1334518253918572550,2020-12-03
1334517145288527882,2020-12-03
1334351957113311233,2020-12-03
1334327894844248070,2020-12-03
1334327603340201984,2020-12-03
1334327470972137474,2020-12-03
1334327204847775744,2020-12-03
1334326746615865344,2020-12-03
1334303260279234562,2020-12-03
1334282156349267970,2020-12-02
1334279349835620354,2020-12-02
1334279292700778496,2020-12-02
1334256021020217346,2020-12-02
1334240039639937026,2020-12-02
1334217466352955393,2020-12-02
1334174044984401920,2020-12-02
1334167828035989506,2020-12-02
1334167769575796739,2020-12-02
1334160124085145603,2020-12-02
1334159010308755458,2020-12-02
1334158797582032896,2020-12-02
1334155797467721730,2020-12-02
1334155285909409801,2020-12-02
1334001184298905601,2020-12-02
1334001161314168834,2020-12-02
1333992053982851072,2020-12-02
1333988969785257984,2020-12-02
1333986142157496320,2020-12-02
1333984649056546816,2020-12-02
1333979211745341441,2020-12-02
1333975991518187521,2020-12-02
1333969204412866562,2020-12-02
1333968502215086081,2020-12-02
1333968444866392064,2020-12-02
1333965375839621120,2020-12-02
1333965375193624578,2020-12-02
1333944853709910029,2020-12-02
1333922807869284352,2020-12-01
1333906697375653888,2020-12-01
1333906137960374279,2020-12-01
1333906048441348097,2020-12-01
1333905993126866945,2020-12-01
1333888306178908163,2020-12-01
1333885681714798593,2020-12-01
1333875814585282567,2020-12-01
1333873500931690499,2020-12-01
1333873469516357638,2020-12-01
1333858605179809792,2020-12-01
1333857049294344194,2020-12-01
1333856259662077954,2020-12-01
1333846507993374726,2020-12-01
1333846469007335426,2020-12-01
1333846439194189826,2020-12-01
1333846411985739776,2020-12-01
1333846348345602051,2020-12-01
1333846314766004224,2020-12-01
1333846286341185542,2020-12-01
1333846259866742790,2020-12-01
1333846237108461568,2020-12-01
1333800136590258179,2020-12-01
1333780265609654273,2020-12-01
1333780221649166336,2020-12-01
1333780166577938432,2020-12-01
1333777626222170113,2020-12-01
1333775224576335872,2020-12-01
1333773762374807553,2020-12-01
1333772740483026944,2020-12-01
1333771923214491648,2020-12-01
1333771177005867008,2020-12-01
1333770547386343433,2020-12-01
1333769900427456512,2020-12-01
1333769613151178752,2020-12-01
1333768490315091969,2020-12-01
1333637865255923712,2020-12-01
1333619689948377089,2020-12-01
1333618999255560193,2020-12-01
1333618697072734210,2020-12-01
1333618527400554497,2020-12-01
1333618096469381126,2020-12-01
1333617733469167617,2020-12-01
1333616249444724737,2020-12-01
1333616180154789888,2020-12-01
1333615151904395264,2020-12-01
1333614815533817856,2020-12-01
1333613706085883905,2020-12-01
1333613590125965313,2020-12-01
1333610260381175813,2020-12-01
1333558773152161793,2020-11-30
1333558147512999938,2020-11-30
1333557162610728961,2020-11-30
1333557049280618496,2020-11-30
1333556989411127299,2020-11-30
1333556458575818754,2020-11-30
1333556242984431616,2020-11-30
1333471604924424199,2020-11-30
1333464453778706433,2020-11-30
1333458950038106113,2020-11-30
1333422192261013504,2020-11-30
1333413062120976385,2020-11-30
1333410419554344964,2020-11-30
1333410418119864320,2020-11-30
1333405854297632770,2020-11-30
1333245684011642881,2020-11-30
1333245312639639552,2020-11-30
1333244506871918599,2020-11-30
1333243882927255561,2020-11-30
1333243838903832577,2020-11-30
1333243657340772352,2020-11-30
1333243285389914112,2020-11-30
1333220661670580228,2020-11-30
1333217873758654464,2020-11-30
1333215466022727686,2020-11-30
1333207778643628032,2020-11-30
1333084506841108483,2020-11-29
1333084358446551042,2020-11-29
1333084321863888896,2020-11-29
1333084257858834438,2020-11-29
1333048188224360451,2020-11-29
1332847732218863616,2020-11-29
1332788716818010114,2020-11-28
1332778938121203720,2020-11-28
1332776310196883461,2020-11-28
1332773351018942465,2020-11-28
1332767240807211010,2020-11-28
1332754929778368526,2020-11-28
1332713121413214208,2020-11-28
1332552283553476608,2020-11-28
1332518860944076802,2020-11-28
1332477653685825536,2020-11-28
1332473183677673472,2020-11-27
1332462484582707202,2020-11-27
1332407714304110597,2020-11-27
1332381712886673409,2020-11-27
1332380892682215424,2020-11-27
1332352538855747584,2020-11-27
1332350936879165440,2020-11-27
1332350445944188929,2020-11-27
1332350060554825728,2020-11-27
1332349862378082304,2020-11-27
1332349861774155778,2020-11-27
1332346370800447489,2020-11-27
1332345494903861248,2020-11-27
1332345211360514049,2020-11-27
1332339212004286464,2020-11-27
1332337895584264197,2020-11-27
1332332543241285634,2020-11-27
1332331511673217024,2020-11-27
1332331194864852992,2020-11-27
1332329281754640386,2020-11-27
1332328895597715456,2020-11-27
1332328712747028480,2020-11-27
1332318324160651271,2020-11-27
1332317886648639489,2020-11-27
1332317394165968899,2020-11-27
1332317347722498048,2020-11-27
1332317341359742978,2020-11-27
1332317320191074304,2020-11-27
1332304346743255042,2020-11-27
1332300983406370817,2020-11-27
1332175155104247808,2020-11-27
1332173996134195202,2020-11-27
1332169753004224515,2020-11-27
1332155514386599937,2020-11-27
1332089057195814915,2020-11-26
1332066337833816066,2020-11-26
1332066064700755968,2020-11-26
1332065775990042625,2020-11-26
1332065010135281668,2020-11-26
1332062259078721538,2020-11-26
1332061503063789583,2020-11-26
1332055759551680523,2020-11-26
1331988084636987392,2020-11-26
1331987171700510720,2020-11-26
1331761414667710467,2020-11-26
1331761131120103424,2020-11-26
1331758249998168067,2020-11-26
1331757781658034178,2020-11-26
1331756500151382018,2020-11-26
1331755857290403846,2020-11-26
1331755585847644160,2020-11-26
1331755119277469696,2020-11-26
1331754614333599744,2020-11-26
1331754373416947713,2020-11-26
1331754026384420865,2020-11-26
1331753940598349824,2020-11-26
1331752775391318018,2020-11-26
1331752597229871104,2020-11-26
1331752440866213888,2020-11-26
1331752342119706624,2020-11-26
1331751857870483456,2020-11-26
1331751507671257090,2020-11-26
1331751453908742145,2020-11-26
