memento-datetime,likes
2021-11-24T01:19:11Z,245787
2021-11-23T14:21:40Z,245642
2021-11-20T23:21:14Z,244474
2021-11-19T18:25:28Z,244139
2021-11-15T23:27:05Z,241679
2021-11-15T22:49:11Z,241681
2021-11-15T15:33:53Z,241699
2021-11-14T16:01:46Z,241754
2021-11-14T05:16:22Z,241729
2021-11-12T10:33:40Z,241745
2021-11-12T02:28:21Z,241742
2021-11-11T21:41:24Z,241744
2021-11-09T12:25:07Z,241726
2021-11-08T12:24:49Z,241701
2021-11-03T18:31:23Z,240127
2021-11-03T17:08:09Z,239934
2021-11-03T16:23:59Z,239927
2021-11-01T12:04:22Z,240136
2021-11-01T11:01:42Z,240139
2021-10-31T23:48:19Z,240166
2021-10-31T13:44:59Z,239977
2021-10-30T04:01:21Z,240161
2021-10-30T02:06:24Z,240154
2021-10-30T02:01:19Z,240154
2021-10-29T22:01:13Z,240197
2021-10-29T14:44:00Z,240169
2021-10-29T02:02:06Z,240186
2021-10-28T10:10:44Z,240193
2021-10-26T13:16:48Z,240229
2021-10-24T01:43:40Z,240215
2021-10-21T05:32:56Z,240202
2021-10-21T02:34:30Z,240190
2021-10-21T00:36:38Z,240183
2021-10-17T14:49:40Z,240255
2021-10-17T14:21:58Z,240244
2021-10-17T02:42:55Z,240239
2021-10-15T19:39:15Z,240261
2021-10-14T05:06:00Z,240235
2021-10-14T02:40:55Z,240234
2021-10-11T01:30:21Z,240143
2021-10-06T09:34:25Z,239738
2021-10-03T06:15:11Z,239938
2021-10-02T00:52:55Z,239946
2021-10-01T15:00:07Z,239957
2021-10-01T14:23:13Z,239980
2021-10-01T01:34:41Z,239960
2021-09-27T14:48:07Z,239072
2021-09-24T07:31:45Z,238453
2021-09-24T03:26:13Z,238452
2021-09-22T23:50:50Z,238458
2021-09-22T22:51:38Z,238497
2021-09-22T22:12:16Z,238473
2021-09-21T15:06:58Z,238269
2021-09-21T14:47:07Z,238264
2021-09-21T09:03:56Z,238231
2021-09-21T08:36:38Z,238229
2021-09-20T19:22:39Z,238236
2021-09-20T14:25:29Z,238445
2021-09-18T03:31:33Z,238448
2021-09-18T01:50:50Z,238444
2021-09-18T01:20:40Z,238441
2021-09-14T10:57:43Z,238375
2021-09-13T22:46:56Z,238636
2021-09-13T13:35:48Z,238659
2021-09-13T02:08:47Z,238666
2021-09-13T01:37:54Z,238663
2021-09-11T19:23:38Z,238460
2021-09-11T19:23:38Z,238460
2021-09-11T01:34:05Z,238679
2021-09-10T15:46:43Z,238701
2021-09-09T11:14:14Z,238736
2021-09-09T06:02:48Z,238764
2021-09-09T03:46:41Z,238735
2021-09-09T03:26:07Z,238734
2021-09-09T03:16:01Z,238745
2021-09-09T02:56:13Z,238744
2021-09-09T02:24:15Z,238742
2021-09-09T00:22:31Z,238730
2021-09-08T22:37:56Z,238727
2021-09-08T21:26:29Z,238723
2021-09-08T20:51:45Z,238746
2021-09-07T11:26:23Z,238676
2021-09-06T17:23:16Z,238721
2021-09-06T17:22:28Z,238720
2021-09-06T15:30:49Z,238462
2021-09-06T15:09:09Z,238687
2021-09-06T09:36:51Z,238688
2021-09-05T17:38:00Z,238730
